Company Name,Domain,Estimated Headcount,Geography,Active Strain Trigger,Primary Source URL,Strategic Wedge Angle,Target Decision Maker Title
Momentic,momentic.ai,32,"San Francisco, CA, USA","Actively hiring Head of Growth on Ashby to build outbound pipeline strategy from scratch.",https://jobs.ashbyhq.com/momentic,"Momentic is actively recruiting a Head of Growth on Ashby while building 0-to-1 pipeline for AI-native software testing agents.",Founder & CEO
Brellium,brellium.com,45,"New York, NY, USA","Actively recruiting enterprise Head of Growth on Ashby for AI clinical compliance platform.",https://jobs.ashbyhq.com/brellium,"Brellium is actively recruiting an enterprise Head of Growth on Ashby while managing clinical audit pipelines across healthcare providers.",Co-Founder & CEO
Nooks,nooks.ai,68,"San Francisco, CA, USA","Actively hiring Head of Growth Marketing on Ashby to expand customer acquisition.",https://jobs.ashbyhq.com/nooks,"Nooks is actively recruiting a Head of Growth Marketing on Ashby while expanding sales pipeline execution for virtual salesfloor teams.",VP of Sales & Co-Founder
Strix,strix.ai,35,"New York, NY, USA","Actively hiring Head of Growth on Ashby to drive GTM for autonomous cyber defense agents.",https://jobs.ashbyhq.com/strix,"Strix is actively recruiting a Head of Growth on Ashby while scaling enterprise penetration testing pipelines for security leaders.",Founder & CEO
Vendelux,vendelux.com,75,"New York, NY, USA","Actively recruiting Head of Growth Marketing on Ashby to scale event intelligence acquisition.",https://jobs.ashbyhq.com/vendelux,"Vendelux is actively recruiting a Head of Growth Marketing on Ashby while transitioning event data intelligence into scalable outbound pipelines.",Chief Revenue Officer
Voxel,voxelai.com,85,"San Francisco, CA, USA","Actively hiring Director of Demand Generation on Ashby to build full enterprise demand engine.",https://jobs.ashbyhq.com/voxel,"Voxel is actively recruiting a Director of Demand Generation on Ashby while scaling computer vision safety pipelines across industrial operations.",VP of Marketing
Passionfroot,passionfroot.me,30,"Berlin, Germany & Remote","Actively hiring Growth Lead on Ashby to scale B2B brand acquisition programs.",https://jobs.ashbyhq.com/passionfroot,"Passionfroot is actively recruiting a Growth Lead on Ashby while expanding brand partnership pipelines for creator-led software platforms.",Co-Founder & CEO
Lightsage,lightsage.ai,24,"San Francisco, CA, USA","Actively hiring Founding GTM Lead on Ashby to lead sales strategy for AI agent infrastructure.",https://jobs.ashbyhq.com/lightsage,"Lightsage is actively recruiting a Founding GTM Lead on Ashby while establishing outbound sales playbooks for developer infrastructure teams.",Co-Founder & CEO
Datalab,datalab.to,35,"New York, NY, USA","Actively hiring Founding GTM on Ashby to define outbound sales playbooks.",https://jobs.ashbyhq.com/datalab,"Datalab is actively recruiting a Founding GTM Lead on Ashby while commercializing automated data science workflows for enterprise analytics teams.",Founder & CEO
Broccoli AI,broccoliai.com,30,"San Francisco, CA, USA","Actively hiring Head of Growth on Ashby to establish pipeline creation systems.",https://jobs.ashbyhq.com/broccoli,"Broccoli AI is actively recruiting a Head of Growth on Ashby while structuring outbound pipeline creation systems for enterprise automation workflows.",Co-Founder & CEO
