client_name,client_domain,signal_cluster,target_account_name,target_account_domain,target_persona,observable_evidence,opening_angle
ShortKit,shortkit.dev,Active In-App Feed Optimization,Lapse,lapse.com,"Head of Mobile, iOS Lead","Fast-growing mobile visual journal with millions of active users; engineering team actively managing high-frequency client-side video playback, AVPlayer caching, and background pre-warming.","Delivering instant playback across Lapse's daily photo and video journal feeds requires sub-100ms first-frame rendering without ballooning device memory during rapid feed swipes."
ShortKit,shortkit.dev,Active In-App Feed Optimization,LTK,shopltk.com,"VP of Engineering, Head of Mobile","Senior Android Engineer Rahul Singh re-architected LTK video with Kotlin, Compose, and ExoPlayer to cut cold-start latency from 8s to under 1s.","As LTK expands creator video feeds on ExoPlayer, optimizing buffer pre-caching across high-density product drops requires continuous player tuning."
ShortKit,shortkit.dev,Client-Side Video Player Infrastructure,NewsBreak,newsbreak.com,"Director of Mobile, VP Product","Live Greenhouse role for Senior iOS Engineer, Ads & Monetization / Video Surfaces ($165k-$200k base) scaling Scoopz vertical video.","Your active Greenhouse posting for a Senior iOS Engineer focused on video surfaces aligns directly with NewsBreak push to scale the Scoopz vertical feed."
ShortKit,shortkit.dev,Active In-App Feed Optimization,Snackpass,snackpass.co,"Head of Mobile, Staff React Native Engineer","Scaling mobile social gifting and video dish feeds on iOS/Android; mobile engineering actively optimizing memory recycling and pre-buffering across React Native FlatList feeds.","As Snackpass scales video feeds for restaurant discovery on React Native, preventing memory spikes and frame drops during rapid vertical scrolling is an ongoing engineering challenge."
ShortKit,shortkit.dev,Active In-App Feed Optimization,Locket,locketcamera.com,"Head of Engineering, Mobile Lead","Mobile camera and live widget app streaming millions of micro-videos and photos to phone lock screens; managing aggressive low-power video playback and instant pre-caching.","Scaling live video and media playback directly inside Locket's home screen widgets means client-side pre-buffering and memory efficiency dictate whether user widgets update smoothly."
ShortKit,shortkit.dev,Client-Side Video Player Infrastructure,Retro,retro.app,"Co-Founder & CEO, Mobile Core Engineer","Ex-Instagram engineering team building high-frequency social photo and video journal app; managing intensive client-side video caching and background pre-warming on iOS.","Building a high-frequency media journal at Retro requires sub-100ms first frame video playback without draining device battery during feed exploration."
ShortKit,shortkit.dev,Active In-App Feed Optimization,Partiful,partiful.com,"Head of Mobile, iOS Lead","Fast-growing social events platform rolling out mobile video recap feeds for attendees; engineering team actively managing video feed rendering and AVPlayer memory overhead.","As Partiful introduces mobile video party recaps, maintaining immediate playback on older iPhones without app stutter is critical to user engagement."
ShortKit,shortkit.dev,Client-Side Video Player Infrastructure,Curtsy,curtsyapp.com,"Head of Engineering, Mobile Tech Lead","Mobile video try-on feeds experiencing client-side frame drops and playback stalls on older iOS devices during high-frequency swipe sessions.","Curtsy's video try-on feed relies on frictionless swipe speed, where even a 200ms buffering pause directly lowers item view completion rates."
ShortKit,shortkit.dev,Client-Side Video Player Infrastructure,Superplastic,superplastic.co,"VP of Mobile, Lead App Developer","Interactive synthetic media app dropping animated character shorts requiring low-latency client-side rendering and instant loop caching.","Delivering high-fidelity animated short drops on Superplastic mobile requires zero-lag pre-buffering so character animations start immediately on swipe."
ShortKit,shortkit.dev,Client-Side Video Player Infrastructure,Overtune,overtune.com,"Chief Technology Officer, Mobile Lead","Mobile music creation feed app where users swipe through thousands of user-generated musical video loops, requiring tight audio-video synchronization and instant caching.","Keeping audio and video perfectly synchronized across rapid feed swipes in Overtune requires low-level player memory management that generic streaming players struggle with."
