Company Name,Domain,Estimated Headcount,Geography,Active Strain Trigger,Primary Source URL,Strategic Wedge Angle,Target Decision Maker Title
Omniscient Digital,beomniscient.com,32,"Austin, TX, USA",Actively hiring Account Manager on Ashby to own client delivery for high-ticket B2B software organic search retainers.,https://jobs.ashbyhq.com/omniscient,Omniscient Digital is actively recruiting an Account Manager on Ashby while managing organic search programs for enterprise B2B software clients.,Co-Founder & Managing Director
Creator Match,creatormatch.com,24,"Los Angeles, CA, USA",Actively hiring Account Manager on Ashby to scale custom creator marketing campaigns for high-growth tech brands.,https://jobs.ashbyhq.com/creatormatch,Creator Match is actively recruiting an Account Manager on Ashby while delivering custom influencer and creator campaigns for venture-backed software brands.,Founder & CEO
So Shall We,soshallwe.com,28,"New York, NY, USA",Actively hiring Account Manager on Ashby to manage multi-channel growth consulting and onboarding cadences.,https://jobs.ashbyhq.com/soshallwe,So Shall We is actively recruiting an Account Manager on Ashby while coordinating growth strategy, creative production, and CRO sprints across client retainers.,Managing Partner
inBeat Agency,inbeat.agency,42,"Montreal, QC, Canada & New York, NY, USA",Actively hiring Account Manager on Ashby to manage client growth strategy and creative production retainers.,https://jobs.ashbyhq.com/inbeat,inBeat Agency is actively recruiting a Client Growth Account Manager on Ashby while running performance creative campaigns for high-volume digital brands.,Co-Founder & CEO
Underscore Marketing,underscoremarketing.com,48,"New York, NY, USA",Actively hiring Senior Account Manager on Greenhouse to lead client services and executive accounts in life sciences.,https://boards.greenhouse.io/underscoremarketing,Underscore Marketing is actively recruiting a Senior Account Manager on Greenhouse while managing pharmaceutical media campaigns and client service deliverables.,President & Managing Director
Sitreps Talent,sitrepstalent.com,25,"Miami, FL, USA",Actively hiring Senior Talent Sourcers on Greenhouse to manage high-ticket recruiting and executive search mandates.,https://boards.greenhouse.io/sitrepstalent,Sitreps Talent is actively expanding its recruiting capacity on Greenhouse while delivering boutique talent searches for high-growth tech employers.,Managing Partner & Founder
Dapper,dapper.agency,30,"San Francisco, CA, USA",Actively hiring Team Lead Content Marketing on Ashby to run B2B agency client content and growth programs.,https://jobs.ashbyhq.com/dapper,Dapper is actively recruiting a Content Marketing Lead on Ashby while scaling content distribution and demand generation programs for B2B technology clients.,Founder & Creative Director
Proxima,proximamedia.com,35,"New York, NY, USA",Actively hiring Account Manager on Ashby to guide paid social performance and analytics across advisory accounts.,https://jobs.ashbyhq.com/proxima,Proxima is actively recruiting an Account Manager on Ashby while directing paid acquisition and data analytics across high-ticket brand accounts.,Managing Director
Junior AI,junior.ai,26,"San Francisco, CA, USA",Actively hiring Key Account Manager on Ashby to deploy research workflows into management consulting and advisory firms.,https://jobs.ashbyhq.com/juniorai,Junior AI is actively recruiting a Key Account Manager on Ashby while coordinating primary research software pilots across professional consulting partners.,Co-Founder & CEO
Auctor,auctor.ai,28,"London, UK & Remote",Actively hiring Customer Success Manager on Ashby to manage implementation partners, systems integrators, and consulting delivery models.,https://jobs.ashbyhq.com/auctor,Auctor is actively recruiting a Customer Success Manager on Ashby while structuring workflow redesign scopes and delivery statements of work for consulting partners.,Head of Client Solutions & Founder
