client_name,client_domain,signal_cluster,target_account_name,target_account_domain,target_persona,observable_evidence,opening_angle
Lexi,getlexi.io,Litigation Discovery & Deposition Backlog,Miller & Martin PLLC,millermartin.com,"Managing Partner, Litigation Practice Chair","Active recruitment for Litigation Paralegals in Atlanta and Chattanooga to handle complex discovery, medical chronology compilation, and witness deposition prep.","Noticed Miller & Martin active recruitment for Litigation Paralegals across Atlanta and Chattanooga to support expanding commercial and tort discovery caseloads."
Lexi,getlexi.io,Litigation Discovery & Deposition Backlog,Kirby McInerney LLP,kmllp.com,Head of Securities & Class Action Litigation,"Active hiring for Class Action Litigation Paralegals managing multi-plaintiff document indexing, SEC disclosure cross-checks, and chronology exhibits.","Your active search for a Class Action Litigation Paralegal to manage multi-plaintiff document reviews and disclosure indexing reflects the intensive administrative lift of securities litigation."
Lexi,getlexi.io,Litigation Discovery & Deposition Backlog,Kiernan Trebach LLP,kiernantrebach.com,"Managing Partner, Litigation Operations Director","Regional insurance defense firm actively hiring Paralegals across DC, MD, and VA for high-volume medical record summaries, IME reviews, and discovery responses.","Kiernan Trebach active hiring for Litigation Paralegals across the Mid-Atlantic to support trial defense and medical liability claims highlights the continuous volume of discovery reviews."
Lexi,getlexi.io,Litigation Discovery & Deposition Backlog,Galloway Johnson Tompkins Burr & Smith,gallowaylawfirm.com,"Managing Director, Litigation Support Manager","Gulf Coast regional litigation powerhouse actively seeking Casualty & Insurance Defense Paralegals to summarize voluminous depositions and medical records.","Your active recruitment for Casualty Litigation Paralegals across your Gulf Coast offices points directly to the ongoing operational strain of processing voluminous depositions and claimant disclosures."
Lexi,getlexi.io,Litigation Discovery & Deposition Backlog,Swanson Martin & Bell LLP,smbtrials.com,"Managing Partner, Toxic Tort Practice Group Leader","Trial defense firm managing extensive product liability and toxic tort caseloads actively recruiting Litigation Project Assistants for complex document organization.","Swanson Martin & Bell recruitment for Litigation Project Assistants to support complex toxic tort and product liability dockets highlights the sheer volume of multi-year record organization required for trial."
Lexi,getlexi.io,Solo In-House Counsel Drowning in MSAs,incident.io,incident.io,"Head of Legal, General Counsel","Fast-growing Series A/B incident management platform scaling enterprise sales, with lean legal counsel handling high volumes of enterprise MSAs, SLAs, and security addenda.","As incident.io scales enterprise sales across global infrastructure teams, accelerating customer MSA turnarounds while maintaining strict security addenda terms creates an immediate in-house legal bottleneck."
Lexi,getlexi.io,Solo In-House Counsel Drowning in MSAs,Finout,finout.io,"Head of Legal, VP Operations & Compliance","FinOps enterprise platform expanding globally with rapid customer acquisition, requiring constant vendor contract and enterprise security addenda reviews.","Your team rapid enterprise expansion across FinOps platforms highlights the escalating volume of bespoke customer security questionnaires and contract markups hitting your legal desk."
Lexi,getlexi.io,Solo In-House Counsel Drowning in MSAs,Baseten,baseten.co,"Head of Legal, Legal Counsel","AI model deployment infrastructure company closing Fortune 500 contracts, experiencing massive enterprise procurement MSA review backlogs with lean legal staffing.","Baseten rapid enterprise adoption by Fortune 500 AI engineering teams creates a steady influx of complex customer MSAs, data privacy exhibits, and GPU uptime SLAs."
Lexi,getlexi.io,Solo In-House Counsel Drowning in MSAs,Hightouch,hightouch.com,"General Counsel, Head of Legal & Trust","Leading composable CDP platform selling to enterprise compliance and data teams, managing a high volume of custom Data Processing Agreements (DPAs) and vendor contracts.","With Hightouch processing enterprise customer data across major brands, your legal desk inevitably manages continuous rounds of custom DPAs and enterprise risk assessments."
Lexi,getlexi.io,Solo In-House Counsel Drowning in MSAs,BreachRx,breachrx.com,Head of Legal & Regulatory Affairs,"Incident management and compliance platform selling to regulated industries, handling continuous compliance, SLA, and enterprise MSA reviews with lean in-house counsel.","BreachRx expansion across heavily regulated enterprise and healthcare accounts requires meticulous review of enterprise compliance guarantees and liability frameworks on every deal."
