client_name,client_domain,signal_cluster,target_account_name,target_account_domain,target_persona,observable_evidence,opening_angle
Jemstone Recruitment,jemstonerecruitment.com,London Scaleups Transitioning to First Head of Finance,Capsa AI,capsa.ai,"Co-Founder & CEO, Chief Operating Officer","Live Ashby posting for Head of Finance in London (Hybrid, 4 days/week) requiring qualified accountant (ACA/ACCA/CIMA) with 8+ years experience.","Your active Ashby search for a Head of Finance in London to lead Capsa financial operations highlights the critical transition from external accounting to in-house financial control."
Jemstone Recruitment,jemstonerecruitment.com,London Scaleups Transitioning to First Head of Finance,TORTUS,tortus.ai,"Co-Founder & CEO, VP Operations","Live Ashby requisition for Head of Finance in London leading healthcare compliance, NHS pilot budgeting, and statutory audit readiness.","TORTUS active recruitment for a Head of Finance to oversee commercial healthcare deployments across the NHS indicates immediate need for hands-on runway and statutory governance."
Jemstone Recruitment,jemstonerecruitment.com,London Scaleups Transitioning to First Head of Finance,Sequence,sequence.work,"Co-Founder & CEO, VP Finance","Live Ashby posting for Head of Finance / Expert in Residence in London, requiring qualified ACA/ACCA accountant with high-growth SaaS experience.","Your active Ashby search for a Head of Finance in London with deep SaaS billing and revenue accounting background reflects Sequence rapid enterprise scaling."
Jemstone Recruitment,jemstonerecruitment.com,London Scaleups Transitioning to First Head of Finance,OLIX,olix.com,"Chief Financial Officer, Managing Director","Live Ashby requisition for Financial Controller (£87k base) in London managing multi-entity statutory consolidation and supply chain working capital.","OLIX active search for an £87k Financial Controller in London highlights the increasing complexity of managing multi-currency supply chain accounting and statutory year-end close."
Jemstone Recruitment,jemstonerecruitment.com,London Scaleups Transitioning to First Head of Finance,Bunch,bunch.capital,"Co-Founder & CEO, Head of Operations","Live Ashby posting for Head of Finance in London managing private equity syndicate fund flows, regulatory capital, and corporate entity reporting.","Bunch active London search for a Head of Finance to oversee private markets investment structures points directly to the challenge of securing senior finance talent with FCA regulatory familiarity."
Jemstone Recruitment,jemstonerecruitment.com,London Scaleups Transitioning to First Head of Finance,Fanvue,fanvue.com,"Chief Executive Officer, VP Operations","Live Ashby job posting for Financial Controller (£50k-£90k) in London to lead cross-border creator payouts, UK/EU VAT compliance, and month-end close.","Your active Ashby search for a Financial Controller in London to manage high-volume cross-border creator disbursements reflects the operational intensity of scaling Fanvue platform."
Jemstone Recruitment,jemstonerecruitment.com,Established Enterprises Expanding Core Finance Teams,Unitary,unitary.ai,"Co-Founder & CEO, Head of Operations","Live Ashby posting for Finance Lead in London following $15M Series A, scaling multi-currency cloud compute commitments and customer SaaS revenue recognition.","Following Unitary Series A to scale multimodal AI moderation, your active Ashby search for a Finance Lead highlights the need for specialized oversight over compute vendor commitments and multi-currency SaaS billing."
Jemstone Recruitment,jemstonerecruitment.com,Established Enterprises Expanding Core Finance Teams,Lawhive,lawhive.com,"Chief Financial Officer, Head of Finance","Live Ashby posting for Management Accountant in London following £9.5M Series A, managing solicitor disbursement ledgers and management accounts.","Following Lawhive £9.5M Series A, your active search for a Management Accountant on Ashby highlights the expanding workload of solicitor payout reconciliations and monthly reporting."
Jemstone Recruitment,jemstonerecruitment.com,Established Enterprises Expanding Core Finance Teams,Taktile,taktile.com,"VP Finance, Head of People & Talent","Live Ashby requisition for Finance & Accounting Manager in London/remote managing European statutory accounts, tax filings, and international payroll consolidation.","Taktile active search for a Finance and Accounting Manager to oversee European statutory filings and payroll consolidation reflects the expanding operational overhead of international fintech deployments."
Jemstone Recruitment,jemstonerecruitment.com,Established Enterprises Expanding Core Finance Teams,Juro,juro.com,"VP Finance, Chief Executive Officer","Live Ashby/Greenhouse posting for Senior Management Accountant in London managing high-growth SaaS ARR reporting, deferred revenue schedules, and month-end close.","Juro active London search for a Senior Management Accountant highlights the operational rigor required to manage enterprise ARR schedules and audit-ready statutory reporting."
